Date,Text
2015-05-19,@TheNaturalHero अहिळेको देशको शासन भन्दा त सैनिक शासन राम्रो हुन्छ बरु
2015-05-19,करोडपतिहरुले पुरै टिएल कब्जा जमाएछन् ... लाग्छ अब दुनिंयाँमा केहि हुँदै छ :)
2015-05-19,सम्पुर्ण मित्रहरु लाई शुभ बिहानी साथै शुभदिनको कामना!!!!!!!!!#GoodBlessYou
2015-05-19,"@Hiemaa82 @Am__Yours के को प्राइभेसी |  विचार गरियोस , यँहा अधिकार सबैको बराबर छ |"
2015-05-19,शुभ विहानी विद्वान मित्रहरु । :)
2015-05-19,"@nangdenn मेरा बाबै बल्ल दिन आउने भए मेरा, लु दाजै जेठ कट्ना साथ असार खुस्किन दिन हुन्न है :))"
2015-05-19,"खाने मुख माथि इज्जत धान्ने नाक  हुन्छ,त्यस माथि जगत हेर्ने दृष्टिकोणयुक्त आँखा,अझ माथि भाग्यशाली निधार र सबसे माथी मौलिक एन्टेनारुपी टुपी छ।"
2015-05-19,"बाँचियो आजको रात पनि, शुभप्रभात !!!"
2015-05-19,शिरिष साप्ताहिक: मधेशमा छोरीलाई अंश दिएर प्रगतिशिल विवाह http://t.co/ydd98UHk7w
2015-05-19,"शुभप्रभात,
जयनेपाल !"
2015-05-19,मजाक गर्दागर्दै आफ्नै पो पर्नु भयो की क्या हो मेरो best fiend पनी पोख्रेल होनी घर कहा हो नेपालमा हजुरको@Kanchopokharel
2015-05-19,पाखनडि भनेहरुकाे बाउकाे ठेकेदारी हाेइन मधेश... http://t.co/HZxw73Udca
2015-05-19,अरुलाई चाए पानी सोछौ हामीलाई बाल हान्छौ … बहुत नाइन्साफी है :डि
2015-05-19,"हामी त्यो होइन जे भन्छौ बरु त्यो हौ जे गर्छौ ।
भन्नेहरुमा होइन गर्नेहरुमा विश्वास गरौ !!  # शुभ प्रभात"
2015-05-19,@HariRimal79 अनि यसलाई कहाँ  डाईभर्ट गराउनु हुन्थ्यो ?
2015-05-19,"ब्या न तिम्ले चाहेर मात्र हुन्न रैछ त बुढा, लेखेकै पुग्नुपर्छ ! अब कुन च्याँखुरी लेख्याछ खप्पराँ पर्खेर बस्नुभन्दा अर्को बिकल्प देखिन है!!"
2015-05-19,जिंदगीमा सफ़ळ हुनु छ भने अरुको गळ्ती र अनुभव ळे सिक्ने हो आफै गळ्ती गर्दै अनुभव गरेर सिक्दा त झुसिळ बा को उमेरमा नि बुद्धि आउदैन
2015-05-19,"@Hiemaa82 ईस् पठाम्छु खुबै, कत्ति जानेकि बाई !
लैङ्ग्वेजको परीक्षा पास भर त्यता उड्चु अनि लिन आउनु भन्दै फुनर्चु :))"
2015-05-19,"कुरा भुकम्पकै ~ हल्लाउन छोड्यो, हल्ला अझै आइ राख्याछ ।"
2015-05-19,"शुभ प्रभात
आजबाट पुराना रोकिएका काम पुन: शुरुगर्ने बिचार गरियो। #BacktoNormalLife!!"
