Unnamed: 0,Date,Text,label,label_id
0,2015-04-25,यस्तो बेला पनी लुटपाट भन्ने सुनीयो.थुक्क यस्ता को मन कस्तो हुन्छ होला?साला यिनै हुन बलात्कारी पनी समातेर जिउदै जलाई दिए हुन्छ यस्ता लाई😥😥,NEGATIVE,2.0
1,2015-04-25,"हाम्रो देशको तत्कालीन अवश्थालाई मध्यनजर गर्दै सहयोग गर्नुहुने सम्पूर्णलाई धेरै धेरै धन्यावाद!
#earthquake",POSITIVE,1.0
2,2015-04-25,धेरै चोटि फोन गरें तै पनि सम्पर्ल भै रहेको छैन। अझै प्रयासरत रहने छु,POSITIVE,1.0
3,2015-04-25,"चौरमा त्रिपाल गाडेर यो अवस्थमा राखियको छ मेरो मंमलाई । जो की हिजो १२ सम्म ICU मा राखियको थियो.
#आर्मी हस्पिटल छाउनी",NEGATIVE,2.0
4,2015-04-25,"आफू तेति सारो भुकम्प प्रभावित क्षेत्रमा नभए पनि मन आतिएको आतियै छ !
#NepalQuake",NEGATIVE,2.0
5,2015-04-25,‘नेपालमा ९० सालभन्दा ३० गुणा ठूलो भूकम्पको खतरा’ » नेपाल प्लस,NEUTRAL,0.0
6,2015-04-25,सर्कार ठिक छु/मेरो अवस्था ठिक भएर क्यार्नु देशको अवस्था बेहाल छ।,NEGATIVE,2.0
7,2015-04-25,"लौन केही गरौ।
सर्खार ले भर्खर नाइट विजन हेलिकाप्टर पठाएको छ रे।",POSITIVE,1.0
8,2015-04-25,NCELL ले बोनस दिएको छ! अब अझ नजिक हुनुहोस आफन्तजन संग।,POSITIVE,1.0
9,2015-04-25,मिरुवा तिर ठिक छ बैनि आफ्नो र परिवारको ख्याल राख खुल्ला ठाऊमा बस,NEUTRAL,0.0
